qtr,oix,numericpubdate,terms,uniqueterms,ttr,mtld,hdd
1838Q4,3288875.9702970297,18381174.504950494,556.8762376237623,277.82508250825083,0.5563407300884247,108.30645434577414,0.8370027073299022
1839Q1,3242112.9357798165,18390213.16717635,531.0550458715596,278.289500509684,0.5756875589573498,111.90995235419811,0.839793044256666
1839Q2,3238342.591008772,18390521.744517542,510.43092105263156,277.9506578947368,0.5922232911923453,128.87047937962976,0.848404703433612
1839Q3,3569716.1655359566,18390826.997286297,532.5753052917232,283.68928086838537,0.5845339991532815,123.67245449574484,0.8450087620119421
1839Q4,3454404.9953542394,18391107.469221834,517.5249709639953,279.1626016260163,0.5912002101524799,123.28633185220744,0.8459841373749462
1840Q1,3304665.355704698,18400207.49552573,530.4686800894855,279.99776286353466,0.5757107378551358,114.64850069207604,0.8433565748556442
1840Q2,3303396.2434607646,18400520.644869216,467.57042253521126,255.25955734406438,0.5959920297523233,118.58183028432722,0.8465641973086291
1840Q3,3291711.3360560094,18400818.323220536,459.33372228704786,276.08751458576427,0.6550410662800841,179.9353474452426,0.8756467713859588
1840Q4,3213626.8084862386,18401121.53325688,451.1788990825688,275.4908256880734,0.6598746533484416,184.76009395352025,0.8776061060338126
1841Q1,3353768.5757931843,18410237.71092832,492.61457109283197,282.7567567567568,0.6214587440112297,148.31019320152433,0.8645184296429853
1841Q2,3260804.6385281384,18410517.844155844,432.6374458874459,261.88419913419915,0.655433382690977,172.37234047878047,0.8762521229606496
1841Q3,3281463.964037123,18410820.588167053,421.0522041763341,256.2146171693735,0.6608790407205981,181.11245053733697,0.8790797894036114
1841Q4,3398780.371621622,18411114.434684686,444.6216216216216,255.018018018018,0.6204842664961081,145.27446310125703,0.8611623287531837
1842Q1,3347335.0916580847,18420219.284243047,520.9608650875387,288.9814624098867,0.6097751370112712,148.59719210407147,0.8655666164347867
1842Q2,3283462.0796370967,18420512.889112905,469.1663306451613,268.6592741935484,0.6236189851183311,146.30431654551617,0.8662802625011989
1842Q3,3254868.7147806003,18420815.18591224,450.270207852194,281.81870669745956,0.6735950157366419,200.689010928975,0.88934883009902
1842Q4,3350951.9691075515,18421118.32951945,475.88100686498854,270.6613272311213,0.6237854718508392,144.1532540037521,0.8656241804555568
1843Q1,,,,,,,
1843Q2,3466405.100496278,18430515.258064516,503.3697270471464,278.47642679900747,0.6001675959956964,127.16368558192079,0.8566393829696765
1843Q3,3263545.9677419355,18430818.144605115,523.4549499443826,279.60289210233594,0.578092962389718,113.15664803304482,0.8466045605022611
1843Q4,3206489.3536895677,18431118.71501272,560.1399491094147,309.83715012722644,0.5944970648554747,131.02163704743697,0.8591181318026536
1844Q1,3340367.805228758,18440222.460130718,582.6875816993464,306.4718954248366,0.5728022513474351,124.05274667188144,0.8536777484867243
1844Q2,3400686.7121771215,18440519.31734317,576.6063960639607,309.3579335793358,0.5847818288254429,129.28956950862002,0.8573142860092059
1844Q3,3265358.413752914,18440810.46153846,562.8391608391609,302.72027972027973,0.5848820543511132,125.94139059254051,0.8547673835688266
1844Q4,3381362.8759776535,18441110.9698324,551.0748603351956,301.75418994413405,0.5907599377484024,141.96698145940226,0.860897206954677
1845Q1,3296681.736903376,18450221.568102445,529.3690337601863,302.80675203725264,0.6158496511756963,156.76587499419801,0.8695830237596465
1845Q2,3302420.458201058,18450511.166137565,513.4772486772487,290.2306878306878,0.6072431922584614,142.46682714503652,0.8643435891572272
1845Q3,3296834.9075975358,18450816.050308008,547.3562628336756,293.03182751540044,0.5876687983523597,129.65716038474966,0.8554400700780823
1845Q4,3339179.9546875,18451066.7375,540.9625,290.3890625,0.5872065002880203,128.0995931909474,0.8526994704119796
1846Q1,3382002.440165062,18460208.31636864,554.917469050894,297.1348005502063,0.582692890399085,122.71234623129568,0.8520806813728771
1846Q2,3390129.025236593,18460511.41114616,589.3406940063091,304.5488958990536,0.5654092843406229,111.98090225687365,0.8480834325678898
1846Q3,3321186.4291497977,18460816.590080973,585.3815789473684,307.7844129554656,0.5725048468040022,122.00762108618986,0.8540251546834096
1846Q4,3324830.293122886,18461115.113866966,580.1172491544532,311.98196166854564,0.582981046744607,131.60932360101478,0.8588811743032109
