entity,nertype,count
Ratnagiri,GPE,7281
SYDNEY,GPE,7266
Bijapur,GPE,7252
Nehru,GPE,7238
Patiala,GPE,7235
GDR,GPE,7220
Newcastle,GPE,7198
and1,GPE,7104
Andhra,GPE,7085
Pretoria,GPE,7007
Edinburgh,GPE,6966
Krishnan,GPE,6888
East Germany,GPE,6836
Jehangir,GPE,6814
Jawaharlal,GPE,6804
Kathmandu,GPE,6778
Secretariat,GPE,6775
Karwar,GPE,6744
Victoria,GPE,6738
Manchuria,GPE,6683
Zurich,GPE,6650
Yemen,GPE,6648
Kathiawar,GPE,6566
Cotton,GPE,6552
Kuala Lumpur,GPE,6533
White Delhi,GPE,6528
Nigeria,GPE,6491
New Moon,GPE,6468
Chile,GPE,6444
Navi,GPE,6381
Rhodesia,GPE,6326
Toronto,GPE,6306
Madhu,GPE,6278
Bhiwandi,GPE,6263
Ranchi,GPE,6261
Patna,GPE,6229
Jalgaon,GPE,6136
IU,GPE,6132
Rawalpindi,GPE,6121
Tunisia,GPE,6116
FRANCE,GPE,6086
Vashi,GPE,6071
Bombay Delhi,GPE,6048
Stockholm,GPE,6032
CHINA,GPE,6029
Cabul,GPE,6019
Southampton,GPE,5983
Ukraine,GPE,5982
ST,GPE,5903
VT,GPE,5901
Athens,GPE,5885
Lisbon,GPE,5863
Philadelphia,GPE,5825
Jamaica,GPE,5820
Mooltan,GPE,5819
Ghana,GPE,5735
South Africas,GPE,5731
Damascus,GPE,5727
Belfast,GPE,5726
Viceroys,GPE,5722
prc,GPE,5676
Ispat,GPE,5613
Soviet Union,GPE,5600
Peru,GPE,5598
Kalyan,GPE,5597
Chittagong,GPE,5574
TIMES CITY,GPE,5552
Ohio,GPE,5544
Kolkata,GPE,5523
Albania,GPE,5476
tiro,GPE,5460
Georgia,GPE,5456
Dacca,GPE,5422
Prussia,GPE,5418
Mantralaya,GPE,5413
Mahajan,GPE,5405
Colonies,GPE,5384
Trinidad,GPE,5359
Gauhati,GPE,5335
Oxford,GPE,5328
Marseilles,GPE,5322
Cholera,GPE,5316
Kolaba,GPE,5309
Formosa,GPE,5264
Naples,GPE,5260
Kanpur,GPE,5250
Tripoli,GPE,5243
Matunga,GPE,5242
Ks,GPE,5233
West Zone,GPE,5226
Ganga,GPE,5218
Khartoum,GPE,5182
Scindia,GPE,5122
Companys,GPE,5106
Lansdowne,GPE,5005
md,GPE,4994
Ottawa,GPE,4937
Angola,GPE,4923
Poonam,GPE,4908
Virginia,GPE,4875
New Jersey,GPE,4873
Panama,GPE,4856
Atlanta,GPE,4848
Menon,GPE,4789
Miami,GPE,4761
Queensland,GPE,4739
Andhra Pradesh,GPE,4714
Independence,GPE,4708
TOI,GPE,4691
Amravati,GPE,4636
Jeddah,GPE,4629
Midland,GPE,4623
Serbia,GPE,4623
Havana,GPE,4607
Kapadia,GPE,4597
Sunil,GPE,4588
Mongolia,GPE,4585
Mandir,GPE,4585
Sunset,GPE,4575
Santa,GPE,4571
Bhavnagar,GPE,4568
Osaka,GPE,4566
Sugar,GPE,4552
Tarapur,GPE,4525
MOSCOW,GPE,4492
Tripura,GPE,4492
Gaza,GPE,4483
New City,GPE,4465
Anand,GPE,4446
Bosnia,GPE,4443
Kolhapur,GPE,4430
Nagaland,GPE,4419
Romania,GPE,4378
Tardeo,GPE,4363
Junagadh,GPE,4361
LA,GPE,4348
iU,GPE,4337
the United States of America,GPE,4327
North Africa,GPE,4313
Dallas,GPE,4307
india,GPE,4302
Thane,GPE,4275
Salisbury,GPE,4269
Karad,GPE,4261
Bahrain,GPE,4261
Baluchistan,GPE,4231
Jubbulpore,GPE,4228
Indu,GPE,4227
Tanzania,GPE,4215
Muscat,GPE,4213
Kirkee,GPE,4213
Ill,GPE,4202
Kandivli,GPE,4193
0,GPE,4180
Penang,GPE,4173
UU,GPE,4165
Northern Ireland,GPE,4161
Native States,GPE,4159
colonies,GPE,4151
Cleveland,GPE,4116
Raipur,GPE,4096
Franco,GPE,4094
32,GPE,4080
Myanmar,GPE,4072
Fiji,GPE,4066
Frankfurt,GPE,4062
I.C.S.,GPE,4061
Houston,GPE,4059
Rajasthan,GPE,4041
Nicaragua,GPE,4014
Hon'ble,GPE,4004
Hampshire,GPE,4004
64,GPE,4001
Colombia,GPE,3998
Lancashire,GPE,3958
Goswami,GPE,3948
Tandon,GPE,3922
Mag,GPE,3911
Parsee,GPE,3909
Qatar,GPE,3905
Meghalaya,GPE,3897
Broach,GPE,3881
St. Petersburg,GPE,3854
St Petersburg,GPE,3839
Iudia,GPE,3838
Nanavati,GPE,3834
Somalia,GPE,3828
Voltas,GPE,3822
NEW DELHI,GPE,3806
Oman,GPE,3802
Municipality,GPE,3784
Marathwada,GPE,3779
Tamil,GPE,3770
Chota,GPE,3745
Bokhara,GPE,3741
Mayawati,GPE,3733
Sewree,GPE,3721
Canterbury,GPE,3710
Abadan,GPE,3673
Budapest,GPE,3671
58,GPE,3669
Consul,GPE,3651
Dhulia,GPE,3628
Hiroshima,GPE,3621
Ihu,GPE,3616
china,GPE,3616
Dover,GPE,3603
Mesopotamia,GPE,3595
Hindustani,GPE,3590
Bolsheviks,GPE,3573
Bradford,GPE,3570
Manhattan,GPE,3567
Burdwan,GPE,3551
Tel Aviv,GPE,3536
Bombay State,GPE,3532
allIndia,GPE,3529
Fort William,GPE,3518
New South Wales,GPE,3513
Iraqs,GPE,3507
