entity,nertype,count
Shaikh,PERSON,6721
Asquith,PERSON,6715
Bales,PERSON,6703
Thana,PERSON,6692
Juno,PERSON,6682
Matunga,PERSON,6666
Scindia,PERSON,6631
Jyoti Basu,PERSON,6586
Michael,PERSON,6537
George Fernandes,PERSON,6503
Bangalore,PERSON,6494
Clark,PERSON,6487
ye,PERSON,6485
Krishna Menon,PERSON,6446
Truman,PERSON,6424
Hill,PERSON,6417
Sun,PERSON,6329
Kannada,PERSON,6302
i.,PERSON,6257
Edward,PERSON,6254
Admiralty,PERSON,6233
Maidan,PERSON,6176
Maharashtras,PERSON,6167
Davis,PERSON,6148
Lhe,PERSON,6142
Hunter,PERSON,6137
Bold,PERSON,6131
Morris,PERSON,6127
Amitabh Bachchan,PERSON,6104
Kapadia,PERSON,6093
Vidarbha,PERSON,6091
Malabar Hill,PERSON,6085
Marquis,PERSON,6067
Parel,PERSON,6063
Poona Mail,PERSON,6038
witli,PERSON,6031
Murray,PERSON,6025
Birla,PERSON,6015
Rajagopalachari,PERSON,6014
Ci,PERSON,6011
Clarke,PERSON,6007
Borivli,PERSON,6003
Sam Dastoor,PERSON,6000
Malad,PERSON,5964
Colony,PERSON,5924
Buddha,PERSON,5921
Nelson,PERSON,5913
Russell,PERSON,5875
Mao,PERSON,5870
Alexandria,PERSON,5831
MacDonald,PERSON,5823
David,PERSON,5792
Continued,PERSON,5771
Anthony,PERSON,5703
Th,PERSON,5702
Ms Jayalalitha,PERSON,5674
Naik,PERSON,5670
Young,PERSON,5668
Oscar,PERSON,5660
Robertson,PERSON,5646
Vaidya,PERSON,5641
ihi,PERSON,5635
Ahmedabad,PERSON,5614
Das,PERSON,5610
Radhakrishnan,PERSON,5584
Howard,PERSON,5584
Bengal,PERSON,5576
Rahul Dravid,PERSON,5534
Cap,PERSON,5514
Yeltsin,PERSON,5499
Dulles,PERSON,5442
Tata Hydro,PERSON,5437
Thomas Cook,PERSON,5436
Directors,PERSON,5433
Boon,PERSON,5428
Powell,PERSON,5426
Mitchell,PERSON,5424
Franco,PERSON,5419
Yadav,PERSON,5404
Kate,PERSON,5371
Sheikh,PERSON,5363
Ayub Khan,PERSON,5359
Owen,PERSON,5357
Phillips,PERSON,5352
Zail Singh,PERSON,5339
Winston Churchill,PERSON,5339
Zia,PERSON,5320
Max,PERSON,5317
Rane,PERSON,5310
Mahim,PERSON,5283
Ou,PERSON,5280
Mr Shah,PERSON,5234
Groundnut,PERSON,5229
Mani,PERSON,5225
BPCC,PERSON,5218
Amir,PERSON,5215
Sardar Patel,PERSON,5214
Arafat,PERSON,5213
Joseph,PERSON,5212
Lewis,PERSON,5186
Sonia,PERSON,5182
Jaffna,PERSON,5175
Bollywood,PERSON,5171
Raj Narain,PERSON,5145
the Aga Khan,PERSON,5131
Kala Ghoda,PERSON,5126
Herr Hitler,PERSON,5085
Vilasrao Deshmukh,PERSON,5077
Ranji,PERSON,5072
Curzon,PERSON,5040
Bench,PERSON,5040
liu,PERSON,5032
Moonset,PERSON,4968
Haj,PERSON,4957
Gore,PERSON,4946
Sappers,PERSON,4942
Krishnan,PERSON,4920
Duncan,PERSON,4917
Don,PERSON,4916
Cooper,PERSON,4914
Lang,PERSON,4884
Bhatia,PERSON,4881
Rajput,PERSON,4869
Richard,PERSON,4864
Dalit,PERSON,4857
Thatcher,PERSON,4853
Lo,PERSON,4838
Nicholson,PERSON,4838
Kim,PERSON,4838
Jardine,PERSON,4835
Robert,PERSON,4834
Venkataraman,PERSON,4815
Malwa,PERSON,4805
Dixit,PERSON,4804
lin,PERSON,4799
Madonna,PERSON,4799
Kelly,PERSON,4799
Saddam Hussein,PERSON,4789
Blair,PERSON,4777
Antulay,PERSON,4764
-A,PERSON,4731
Jana Sangh,PERSON,4713
John Simon,PERSON,4709
Spencer,PERSON,4708
Kelkar,PERSON,4700
Jordan,PERSON,4677
Jin,PERSON,4676
Douglas,PERSON,4670
Gowda,PERSON,4654
hU,PERSON,4652
Coroner,PERSON,4641
Karunakaran,PERSON,4640
Walton,PERSON,4639
Vora,PERSON,4636
Mahajan,PERSON,4623
Butler,PERSON,4615
Goregaon,PERSON,4613
Bharucha,PERSON,4612
Ismail,PERSON,4607
Mussoorie,PERSON,4606
Df,PERSON,4603
Chou En-lai,PERSON,4602
Lytton,PERSON,4586
Anil,PERSON,4569
Wt,PERSON,4563
Buta Singh,PERSON,4557
Kale,PERSON,4556
Nijalingappa,PERSON,4551
Namboodiripad,PERSON,4536
Dean,PERSON,4533
Montagu,PERSON,4522
Shivaji,PERSON,4505
Clerk,PERSON,4501
Jet Airways,PERSON,4497
Cowasji Jehangir,PERSON,4488
Worli,PERSON,4481
Turner,PERSON,4476
Sharif,PERSON,4454
Sind,PERSON,4447
Albert,PERSON,4440
Mar,PERSON,4413
Law,PERSON,4409
Laxman,PERSON,4399
Trustees,PERSON,4391
Sethi,PERSON,4385
Rajendra Prasad,PERSON,4380
Pharma,PERSON,4379
Sunil Gavaskar,PERSON,4377
Tiwari,PERSON,4374
Evans,PERSON,4371
Mohammedan Sporting,PERSON,4370
Adams,PERSON,4365
Frank,PERSON,4362
Ono,PERSON,4356
Karnataka,PERSON,4339
Kissinger,PERSON,4333
Ms Gandhi,PERSON,4306
Lai Bahadur Shastri,PERSON,4302
