,narticles,npersons,muslim_dist,dist_sc,dist_st,dist_stsc,women_dist
1838,768,8262,0.04611474219317357,0.007125890736342043,0.06413301662707839,0.07125890736342043,0.290448343079922
1839,4911,53514,0.0553126284710543,0.020193861066235864,0.14620355411954766,0.16639741518578352,0.35571542765787373
1840,5186,54022,0.05344119062604124,0.02497687326549491,0.1396854764107308,0.16466234967622573,0.368006993006993
1841,5029,63760,0.057841907151819326,0.027050610820244327,0.22207678883071552,0.24912739965095987,0.39133893062306674
1842,5216,70015,0.05841605370277798,0.019979681679647816,0.18117168980697596,0.20115137148662376,0.367358029164025
1843,3009,42396,0.057387489385791114,0.02326783867631851,0.265770423991727,0.2890382626680455,0.370364500792393
1844,4793,74963,0.06636607392980537,0.021450685537372845,0.1977001326846528,0.21915081822202565,0.3605427289637816
1845,4749,74417,0.0735718988940699,0.012295081967213115,0.39969801553062984,0.41199309749784296,0.325260228795218
1846,5111,83727,0.0671587421023087,0.012517385257301807,0.30006954102920724,0.312586926286509,0.3075550267697799
1847,5156,78869,0.06037860249274113,0.016900048285852245,0.2870593915982617,0.30395943988411395,0.3089601046435579
1848,5746,86971,0.07499051407940578,0.022088708252341403,0.47623254992048064,0.4983212581728221,0.2891745365512417
1849,5384,81277,0.07150854485278738,0.0330635838150289,0.4913294797687861,0.524393063583815,0.3267380509000621
1850,0,0,,,,,
1851,4491,64837,0.06348227092555177,0.0286368843069874,0.42802596410843835,0.45666284841542576,0.35523114355231145
1852,5700,83430,0.06488073834352151,0.032850997262416894,0.22174423152131403,0.2545952287837309,0.4265342500636618
1853,5506,58157,0.04733737985109273,0.013328530259365994,0.24711815561959655,0.2604466858789625,0.26574437332232087
1854,4728,50121,0.05025837473314579,0.04316546762589928,0.26762589928057556,0.3107913669064748,0.31199609088688
1855,4693,63578,0.049624083802573216,0.02416052416052416,0.21703521703521703,0.2411957411957412,0.382111479187671
1856,5016,71970,0.056092816451299155,0.049199531433033974,0.21202655212807497,0.26122608356110893,0.4114353579911775
1857,5098,50685,0.04693696359869784,0.03441945846718678,0.22854520422212024,0.262964662689307,0.32727272727272727
1858,7121,80984,0.046774671540057294,0.01340250756593169,0.2922611327280588,0.3056636402939905,0.2845039628313747
1859,6709,76702,0.04990743396521603,0.011265580057526366,0.2063758389261745,0.21764141898370087,0.2884815663403458
1860,0,0,,,,,
1861,9826,144125,0.05919861231569818,0.022123893805309734,0.37253782472166713,0.3946617185269769,0.3499253839118086
1862,0,0,,,,,
1863,0,0,,,,,
1864,0,0,,,,,
1865,7183,86467,0.07945227659106943,0.013588736083824493,0.6358873608382449,0.6494760969220694,0.34744855477578207
1866,0,0,,,,,
1867,0,0,,,,,
1868,0,0,,,,,
1869,7751,119026,0.07881471275183573,0.034591961023142506,0.2930572472594397,0.3276492082825822,0.4202964522461521
1870,0,0,,,,,
1871,17935,268966,0.06788590379453165,0.02532996894409938,0.3851902173913043,0.4105201863354037,0.41654934437543134
1872,9354,118195,0.06649181437455053,0.007629107981220657,0.5136443661971831,0.5212734741784038,0.3224992995236761
1873,0,0,,,,,
1874,15932,214272,0.061393929211469536,0.01655016447368421,0.3488898026315789,0.36543996710526316,0.3867613291456623
1875,16061,216736,0.06546674294994832,0.01888958463786266,0.4153621373408474,0.4342517219787101,0.3797554347826087
1876,15972,159285,0.05018677213799165,0.015661252900232018,0.38375870069605567,0.3994199535962877,0.244919939685503
1877,16128,174202,0.0560211708246748,0.013892853744409553,0.4324864401941193,0.4463792939385289,0.23502469047448651
1878,15018,178937,0.053448979249680055,0.016065573770491802,0.35147540983606557,0.3675409836065574,0.2530546623794212
1879,15235,184170,0.06492914155399902,0.015901375737001965,0.4485438627836341,0.4644452385206361,0.25772921108742003
1880,16519,173747,0.05422827444502639,0.019891689231410124,0.2219329306394501,0.24182461987086024,0.27431577070517965
1881,17139,203677,0.06659072943925921,0.010608098012849246,0.44277603466308085,0.4533841326759301,0.224027936337385
1882,16655,204534,0.0579659127577811,0.014374387455080039,0.4063214635739954,0.4206958510290755,0.2269247128881327
1883,18675,229195,0.058085909378476845,0.01436678399540263,0.42159327634509014,0.4359600603404928,0.2105523597451599
1884,19023,246240,0.04478557504873294,0.022131284449640888,0.25129447135460165,0.2734257558042425,0.2657903531246519
1885,18837,217642,0.04775732625136692,0.01276909224850618,0.2551362855038062,0.2679053777523124,0.23391922213911742
1886,19417,243528,0.0488773364869748,0.025835092060257622,0.3322902263299614,0.35812531839021905,0.2212169691620235
1887,18970,227450,0.04728072103759068,0.019809244314013204,0.1719002201027146,0.19170946441672782,0.24132530120481926
1888,18092,203156,0.04440922246943236,0.016359743040685226,0.20779443254817986,0.2241541755888651,0.23088896575579385
1889,19111,194721,0.03443901787685971,0.018736720108170755,0.11309638786942244,0.1318331079775932,0.27531380753138074
1890,18837,206547,0.038896716001684845,0.020434344359937687,0.1602675707871346,0.1807019151470723,0.27830342577487766
1891,19330,230019,0.03913589746933949,0.02133999033660815,0.13158318569818006,0.15292317603478822,0.26495996628739993
1892,19384,228086,0.04171233657480073,0.030618547604341306,0.19297626400776494,0.22359481161210623,0.262125340599455
1893,8762,138733,0.0634311951734627,0.024995915700049012,0.3246201601045581,0.3496160758046071,0.33367845605897456
1894,18623,314165,0.060608279089013735,0.03841837175170509,0.22981956315289648,0.26823793490460157,0.33285031371377355
1895,19031,232533,0.050569166526901556,0.032413378041440975,0.20952626601324048,0.24193964405468146,0.23516710476905744
1896,0,0,,,,,
1897,18921,279110,0.0467414281107807,0.04335931023047587,0.1856242745813298,0.22898358481180567,0.31856975075035887
1898,10067,126014,0.05625565413366769,0.024021592442645075,0.2697705802968961,0.29379217273954117,0.30400819567166093
1899,18615,213959,0.05072934534186456,0.01911018214392356,0.2876231710958495,0.3067333532397731,0.2591710853803701
1900,17923,230477,0.04502401541151611,0.020541628238450575,0.15116961515888322,0.1717112433973338,0.2931016757479182
1901,19275,224578,0.04600183455191515,0.028469462243490957,0.13618298321031713,0.16465244545380808,0.3058907026259759
1902,20123,246711,0.043021997397764994,0.03382026040012703,0.1676722769133058,0.20149253731343283,0.2679268775822061
1903,19536,231780,0.04795927172318578,0.029115341545352745,0.20596704527275636,0.2350823868181091,0.31114778144481114
1904,18982,241124,0.05266584827723495,0.025944978751957056,0.30500260940878254,0.3309475881607396,0.2827702367977806
1905,18633,249333,0.056996065502761366,0.027679312165321667,0.18787238856625688,0.21555170073157856,0.36513696193525436
1906,20594,267906,0.060782513269579626,0.028887602136009778,0.23695554268802677,0.26584314482403654,0.35552100805956716
1907,23668,270527,0.05349188805553605,0.026603623105844822,0.1634385325281987,0.19004215563404353,0.31385976607478333
1908,25332,292366,0.0538263683191616,0.02530559725498606,0.16491529058546,0.19022088784044605,0.31520083761660006
1909,26294,281664,0.05271884230856624,0.02069144788146608,0.13272680010397714,0.1534182479854432,0.30086750788643535
1910,25579,301839,0.05806406726764931,0.02498414092616991,0.17830478700043917,0.20328892792660908,0.29288799308954794
1911,25517,221098,0.039561642348641776,0.02535517639861328,0.09081639589422881,0.11617157229284208,0.29967758357373153
1912,26418,319040,0.05373934302908726,0.027500242506547676,0.09258899990299738,0.12008924240954506,0.30745127530237515
1913,26514,367174,0.060009695675619736,0.02819046204130144,0.12925271133561134,0.1574431733769128,0.3052232142857143
1914,26052,318769,0.05638252151244318,0.03331285734536692,0.09894627415772811,0.132259131503095,0.3357863835605421
1915,25425,291977,0.05971703250598506,0.03004751102170098,0.08873004323074947,0.11877755425245046,0.26987272311561616
1916,20445,252294,0.06144022449998811,0.028578467602857847,0.17511702389751171,0.20369549150036956,0.2350974930362117
1917,17855,161102,0.06109793795235317,0.031517362858580776,0.2356567689984902,0.26717413185707095,0.21678939617083948
1918,19314,212187,0.06497099256787645,0.023928107405803378,0.16690125595495886,0.19082936336076223,0.24968840880764437
1919,24166,241134,0.06554446905040351,0.024014206723977884,0.09601646688461073,0.12003067360858861,0.2620336943441637
1920,25964,210674,0.05723534940239422,0.019078884765439147,0.10543343800551908,0.12451232277095822,0.3080844865258558
1921,24805,231511,0.0584378280081724,0.018982360294458076,0.16630399555534978,0.18528635584980785,0.3503014915899714
1922,25017,237499,0.06218131444763978,0.015029625704513706,0.26624596560527963,0.28127559130979335,0.3234921305587831
1923,25527,306725,0.06046784579020295,0.0272817263908137,0.12599485250445455,0.15327657889526827,0.30163724601354597
1924,27821,259630,0.05727766436852444,0.026049973418394472,0.061897167160325055,0.08794714057871952,0.3237410071942446
1925,29521,280161,0.061246925874764865,0.02631032334002631,0.041057951949041056,0.06736827528906737,0.28983407953647616
1926,33064,276037,0.058093661356991996,0.02377200335289187,0.04787929589270746,0.07165129924559933,0.25356576862123614
1927,34187,294967,0.06207813077395098,0.023057987723179508,0.04695728040382638,0.07001526812700588,0.23993371996685997
1928,34830,305760,0.059497645211930926,0.02115672408227941,0.04184395082015317,0.06300067490243258,0.27276894865525675
1929,37219,335648,0.06376918676708933,0.02727748082732977,0.06303741575644899,0.09031489658377875,0.2869533791109505
1930,35888,312885,0.054665452162935266,0.02332578646329838,0.05109032411820782,0.0744161105815062,0.2760375438199706
1931,33732,277493,0.058657335500354964,0.02808707619166771,0.04234955586137871,0.07043663205304641,0.3146343964721567
1932,37103,243557,0.05722685038820481,0.02148451797086597,0.026096186223556108,0.04758070419442208,0.28191586232016025
1933,44466,304653,0.05626072942002869,0.02338436604636356,0.040054409168523715,0.06343877521488728,0.2933295726977859
1934,45361,300387,0.05760901770049969,0.02636665659921474,0.033736031410450014,0.060102688009664756,0.2923968343697004
1935,49298,335761,0.05956022289664374,0.02891026485702991,0.024192910791935696,0.053103175648965606,0.25954032957502166
1936,51451,344368,0.06176822468986665,0.02438007407225724,0.024576291972235167,0.04895636604449241,0.26732673267326734
1937,46841,303626,0.0661899837299836,0.02187972669900381,0.01851562092525948,0.040395347624263285,0.23675738952297337
1938,51529,329009,0.0680893227844831,0.022187004754358162,0.016228209191759112,0.03841521394611727,0.31146496815286623
1939,46363,292951,0.06275110854716318,0.02453449152150811,0.016356327681005405,0.040890819202513515,0.30599144079885876
1940,31128,217295,0.0538162405945834,0.02702152769299638,0.06470516420461482,0.09172669189761119,0.29807505347073693
1941,27137,208591,0.055337958013528865,0.023758192480165575,0.06743704725767506,0.09119523973784063,0.27230142566191445
1942,22789,153482,0.048070783544650185,0.02319134550371873,0.08160919540229886,0.10480054090601758,0.2851773549447968
1943,20016,136055,0.046613501892616954,0.025783264317524805,0.10196109071021174,0.12774435502773654,0.286535098675993
1944,20319,134627,0.05389706373907166,0.027746865494472885,0.12308034720676608,0.15082721270123897,0.3047255038220987
1945,29342,173918,0.06656010303706344,0.027471127717391304,0.021102241847826088,0.04857336956521739,0.2782352941176471
1946,31334,182512,0.07348557903041991,0.023410177717507672,0.01848547569766612,0.04189565341517379,0.2510561255280628
1947,29956,233331,0.054853405676913915,0.02084534893301475,0.12832660459751175,0.14917195353052648,0.2951219512195122
1948,36610,202904,0.059801679612033275,0.0213620031439479,0.02158657085111161,0.04294857399505951,0.2825763216679077
1949,37722,200296,0.055772456763989293,0.03218171847490403,0.025081536640979018,0.05726325511588305,0.2610294117647059
1950,37573,194798,0.05630961303504143,0.035391117990236934,0.025389927372306227,0.06078104536254316,0.2743972445464983
1951,30976,148230,0.06044660325170343,0.03308913308913309,0.019454619454619456,0.05254375254375254,0.25573770491803277
1952,38880,201479,0.059822611785843686,0.03227355169102742,0.01805718553291369,0.05033073722394111,0.29118198874296436
1953,49847,259561,0.054137563039131455,0.034261241970021415,0.019655133551222812,0.053916375521244224,0.28987194412107103
1954,53625,273871,0.05915923920385875,0.028703525332305913,0.014794837218262377,0.04349836255056829,0.26666666666666666
1955,52428,274318,0.05584030213110332,0.02783114775504113,0.015221324777556007,0.04305247253259714,0.2876314834965542
1956,49231,259400,0.05493831919814957,0.029441383804276997,0.015026755918883163,0.04446813972316016,0.2689169139465875
1957,47060,247586,0.06009628977405831,0.027980909072287428,0.015321903357299412,0.04330281242958684,0.2812631578947368
1958,46448,241284,0.06552444422340478,0.02932527026467299,0.014020627096881084,0.04334589736155407,0.3052099533437014
1959,43701,227371,0.05335772811836162,0.03300071740690015,0.015413378551707645,0.048414095958607795,0.2876962395034684
1960,42190,225306,0.048818051893868786,0.027108298550334364,0.017458821417351108,0.04456711996768547,0.271774485001807
1961,41120,220891,0.050979895061365105,0.030767127034048953,0.019668170837321666,0.05043529787137062,0.28101644245142005
1962,38407,212529,0.055371266980035666,0.026845809341010878,0.024261036468330135,0.05110684580934101,0.30710008554319934
1963,39690,206155,0.053610147704397176,0.024302408192263408,0.019549719493373183,0.043852127685636594,0.2767603817384576
1964,39321,216259,0.0575189934291752,0.022175355256152995,0.02149965191039764,0.043675007166550636,0.29318181818181815
1965,39712,222752,0.05713977876741847,0.021117837533436577,0.028743723309399786,0.04986156084283636,0.341116535767353
1966,39781,222099,0.04727621466102954,0.0212159962799349,0.023076028830504535,0.044292025110439434,0.27403948206325623
1967,35610,209173,0.05126378643515177,0.020778105514692155,0.02374640630250532,0.04452451181719748,0.26272225628448803
1968,35238,210630,0.051782746997103925,0.02253720208881385,0.018218226078762417,0.04075542816757627,0.27081174438687394
1969,43115,284378,0.055718093523408986,0.024343352647140718,0.018244255578684983,0.0425876082258257,0.2635626688838079
1970,41603,266568,0.05405374988745836,0.031033856386323305,0.020917461958723994,0.0519513183450473,0.25985897101070776
1971,42613,269224,0.07493388405194187,0.028030951798385124,0.022510398825544408,0.05054135062392953,0.25294695481335955
1972,41040,266391,0.06867349122155028,0.032293468138885194,0.02762072635359851,0.059914194492483704,0.277202485263661
1973,40016,249257,0.06637326133268073,0.026900606419168763,0.030173051323768674,0.057073657742937434,0.2960417160464565
1974,28810,169973,0.06369246880386885,0.024385824121773796,0.03313572704444847,0.05752155116622227,0.3104718719002409
1975,35127,206124,0.06623197686829287,0.024143216905726485,0.022373079309463847,0.046516296215190336,0.2619184376794945
1976,39573,232973,0.06070231314358316,0.02422263628438093,0.022598676900459837,0.046821313184840764,0.26247689463955637
1977,40554,276549,0.05972178528940622,0.0211521466114703,0.015175124424391832,0.036327271035862134,0.25620347394540943
1978,41128,278146,0.05893307831139042,0.02315639055472264,0.015156484257871064,0.038312874812593704,0.24939172749391728
1979,33125,223995,0.060358490144869305,0.021049843411601564,0.015596516102896496,0.03664635951449806,0.22991583779648048
1980,43570,274476,0.05317769130998703,0.025719953485190506,0.016704288939051917,0.04242424242424243,0.2506314903171485
1981,43412,274384,0.05293676016094233,0.03343398538357183,0.01740259361370035,0.05083657899727218,0.26076668244202555
1982,44190,284141,0.05558507923882861,0.028219080692351864,0.01860763993328047,0.04682672062563233,0.2518348623853211
1983,44156,293565,0.056396368776931854,0.029817534490431688,0.021024665884478967,0.050842200374910655,0.25274468582106985
1984,44458,302162,0.05396112019380332,0.024491243177529855,0.022642369597426774,0.047133612774956625,0.27535529715762275
1985,42458,283810,0.049624748951763505,0.022634838969288477,0.02460371067645833,0.04723854964574681,0.2483045285495515
1986,44440,289119,0.05100322012735241,0.024186058679642637,0.021426048738374604,0.04561210741801724,0.2589343729694607
1987,49543,325107,0.05205055566321242,0.024130874643612618,0.01839418743676998,0.0425250620803826,0.25943775100401606
1988,47429,309535,0.05323792139822637,0.02274248291027296,0.018882355753143076,0.041624838663416035,0.26632954066582387
1989,50794,335666,0.055224538678329056,0.025896544229515324,0.022538578569876115,0.04843512279939144,0.27994661327994663
1990,52984,352614,0.06127380081335398,0.02700222833923188,0.018371194934309366,0.04537342327354124,0.23728813559322035
1991,54007,376079,0.05824839993724723,0.025458527237886667,0.02388447851081303,0.0493430057486997,0.2513988808952838
1992,54445,341373,0.056395789942379745,0.024032746439385442,0.03114276101827969,0.055175507457665134,0.22157021448806152
1993,52029,345727,0.05876312813289098,0.022542404596537186,0.0274955696690185,0.05003797426555569,0.25206202573408115
1994,53733,371560,0.053017009365916676,0.02577097993076453,0.021404167703690295,0.04717514763445483,0.2993827160493827
1995,60754,471368,0.047391846710001524,0.028718984640012196,0.023163852574608377,0.05188283721462057,0.2856338028169014
1996,68989,488613,0.052061652064108,0.029012896564999037,0.028435438430713774,0.05744833499571281,0.29375322663913267
1997,72950,479007,0.05597830511871434,0.03285076969194689,0.02179471354763626,0.05464548323958315,0.291220556745182
1998,76243,516188,0.05627600796608988,0.02887749935600778,0.02313930662024001,0.05201680597624779,0.3250580046403712
1999,80605,514196,0.05936257769410886,0.03031683911435158,0.02216801586876106,0.05248485498311264,0.3229498967911428
2000,78466,446006,0.05245220916310543,0.03329271477065019,0.02295674123074245,0.05624945600139264,0.30943396226415093
2001,73841,438625,0.05671359361641493,0.0364298934348021,0.020508340134959592,0.056938233569761694,0.3189852360158037
2002,70090,388220,0.06250064396476225,0.02882869055841199,0.022229043562786176,0.05105773412119817,0.312126285577613
2003,69813,359642,0.06672190678508072,0.029655522354400405,0.024271297288154706,0.053926819642555114,0.33676357087728326
2004,71408,393313,0.06665175064134671,0.03477484980072572,0.017916840164178216,0.052691689964903934,0.3348818420521107
2005,92458,513775,0.067081893825118,0.03911227154046997,0.015735422106179286,0.05484769364664926,0.30483490566037735
2006,100581,553536,0.07003880506416926,0.038074171305411735,0.017461127721464628,0.055535299026876365,0.33230472516875603
2007,101360,569581,0.06737233159111698,0.03717200599849261,0.016969828825398797,0.054141834823891406,0.286976911976912
2008,103894,580364,0.06415628812262648,0.0356337427239204,0.019725413707981594,0.05535915643190199,0.28132765353212635
